      3.221     0.311     0.159     0.152
      1.160     1.051     0.427     0.624
      0.673     1.250     0.577     0.673
      0.922     1.025     0.402     0.622
      2.293     2.313     0.839     1.474
      0.903     1.198     0.470     0.728
      1.134     0.770     0.348     0.422
      1.227     0.262     0.111     0.151
      1.255     0.639     0.271     0.368
      1.872     0.363     0.150     0.213
      0.905     1.697     0.607     1.090
      1.478     0.172     0.085     0.087
      1.037     0.930     0.412     0.519
      1.174     0.377     0.153     0.224
      0.858     1.216     0.696     0.520
      1.087     1.433     0.468     0.965
      0.526     1.822     1.035     0.787
      1.233     0.453     0.174     0.278
      1.201     2.653     1.095     1.558
      1.548     0.476     0.206     0.270
      2.545     0.124     0.056     0.068
      1.012     1.291     0.693     0.598
      0.386     1.250     0.553     0.697
      3.221     0.311     0.159     0.152
      1.610     0.041     0.021     0.021
      0.583     1.898     0.800     1.098
      1.053     4.025     1.347     2.678
      0.523     1.049     0.433     0.616
      0.883     0.738     0.281     0.457
      1.603     1.222     0.406     0.816
      0.862     1.168     0.616     0.551
      0.233     2.521     1.211     1.310
      0.463     2.630     1.337     1.292
      0.385     2.502     1.041     1.462
      0.679     3.094     1.604     1.490
      0.465     3.907     2.685     1.222
      3.016     0.052     0.025     0.027
      0.618     0.476     0.218     0.258
      0.285     1.932     0.974     0.958
      3.689     0.140     0.074     0.066
      2.564     0.165     0.087     0.078
      4.933     0.075     0.040     0.035
      2.009     1.121     0.441     0.681
      4.933     0.075     0.040     0.035
      2.564     0.165     0.087     0.078
      0.957     3.174     1.378     1.796
      2.564     0.165     0.087     0.078
      2.564     0.165     0.087     0.078
      0.720     2.160     1.052     1.108
      2.564     0.165     0.087     0.078
      0.500     4.425     2.613     1.812
      1.973     1.512     0.796     0.716
      0.628     4.342     2.437     1.905
      2.449     0.295     0.151     0.144
      0.836     1.768     0.909     0.859
      0.803     1.920     0.797     1.123
      2.449     0.295     0.151     0.144
      2.135     0.497     0.163     0.334
      4.933     0.075     0.040     0.035
      4.933     0.075     0.040     0.035
      1.137     2.079     0.763     1.316
      1.577     0.126     0.055     0.071
      3.591     0.223     0.116     0.107
      1.622     0.176     0.077     0.099
      2.621     1.609     0.517     1.092
      4.933     0.075     0.040     0.035
      3.689     0.140     0.074     0.066
      1.212     0.939     0.359     0.580
      0.486     0.766     0.406     0.360
      0.525     3.019     1.704     1.315
      0.595     1.286     0.568     0.718
      0.644     0.673     0.304     0.369
      4.933     0.075     0.040     0.035
      0.560     1.859     0.714     1.145
      1.459     0.237     0.106     0.130
      1.747     1.592     0.380     1.213
      0.607     2.713     1.105     1.608
      0.388     1.485     0.673     0.812
      0.543     3.052     1.613     1.439
      3.689     0.140     0.074     0.066
      0.523     2.303     1.142     1.161
      3.016     0.052     0.025     0.027
      0.487     1.006     0.484     0.522
      1.421     4.363     1.883     2.480
      0.570     1.566     0.717     0.849
      0.586     0.674     0.331     0.343
      1.216     1.421     0.460     0.961
      0.283     3.125     1.815     1.310
      1.148     0.249     0.121     0.128
      0.692     1.243     0.579     0.664
      4.933     0.075     0.040     0.035
      1.050     0.958     0.425     0.532
      0.452     2.364     1.376     0.988
      0.771     0.811     0.419     0.392
      0.671     1.458     0.753     0.706
      0.423     6.070     3.488     2.582
      4.933     0.075     0.040     0.035
      0.337     1.842     0.964     0.878
      0.683     1.205     0.651     0.554
      0.457     1.111     0.547     0.565
      0.590     1.196     0.638     0.557
      4.933     0.075     0.040     0.035
      1.220     0.102     0.048     0.054
      4.933     0.075     0.040     0.035
      2.449     0.295     0.151     0.144
      1.741     0.105     0.053     0.052
      1.215     0.294     0.116     0.179
      1.273     0.460     0.153     0.307
      2.032     0.290     0.149     0.141
      0.785     1.367     0.494     0.873
      4.933     0.075     0.040     0.035
      2.261     0.629     0.322     0.308
      0.886     1.424     0.728     0.696
      0.564     1.090     0.522     0.568
      0.815     0.615     0.257     0.358
      0.747     0.796     0.362     0.434
      3.689     0.140     0.074     0.066
      0.632     1.958     1.012     0.946
      0.526     1.353     0.531     0.822
      0.358     0.724     0.347     0.377
      2.222     0.799     0.313     0.486
      0.628     4.624     2.914     1.710
      0.703     2.057     0.956     1.102
      1.225     1.617     0.700     0.917
      0.592     2.196     0.908     1.288
      0.402     3.301     1.696     1.605
      0.378     2.525     1.342     1.183
      0.491     4.034     2.030     2.003
      4.933     0.075     0.040     0.035
      0.886     1.249     0.636     0.612
